"id";"eng_title";"orig_title";"year";"runtime";"stars";"director";"creator";"plot";"imdb";"rating";"douban";"mtime";"trailer";"featurette";"status";"category";"poster";"subtitle";"prod";"comments"
"1525412612186";"Summer of '42";"";"1971";"1h 44min";"";"Robert Mulligan";"";"During his summer vacation on Nantucket Island in 1942, a youth eagerly awaiting his first sexual encounter finds himself developing an innocent love for a young woman awaiting news on her soldier husband's fate in WWII.";"tt0067803";"7.3";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYmI2YjRiMGMtMzY5YS00ZTA2LTg1Y2EtOGQ4YmM1MjU1NWQ4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612188";"Solaris ";"Solyaris";"1972";"2h 47min";"";"Andrei Tarkovsky";"";"A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.";"tt0069293";"8.1";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BZmY4Yjc0OWQtZDRhMy00ODc2LWI2NGYtMWFlODYyN2VlNDQyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR4,0,182,268_AL_.jpg";"";"";""
"1525412612190";"The Golden Voyage of Sinbad";"";"1973";"1h 45min";"";"Gordon Hessler";"";"Sinbad and his crew intercept a homunculus carrying a golden tablet. Koura, the creator of the homunculus and practitioner of evil magic, wants the tablet back and pursues Sinbad. Meanwhile... See full summary »";"tt0071569";"6.8";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BNTUyZDFhZTItODZjOC00NGU5LWFkNmEtOGZhNDc1MGRiMDIyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612193";"Sinbad and the Eye of the Tiger";"";"1977";"1h 53min";"";"Sam Wanamaker";"";"Sinbad The Sailor sails to deliver a cursed prince to a dangerous island in the face of deadly opposition from a powerful witch.";"tt0076716";"6.4";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BOTI2MzU4NjM4NV5BMl5BanBnXkFtZTgwNTkwNzYzNTE@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612195";"Stalker";"";"1979";"2h 42min";"";"Andrei Tarkovsky";"";"A guide leads two men through an area known as the Zone to find a room that grants wishes.";"tt0079944";"8.1";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BOGM4NjBhMmEtZmI1NS00ODIwLWFjNzAtYjIzYzQ5MDJjMTFjXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_UY268_CR4,0,182,268_AL_.jpg";"";"";""
"1525412612197";"Dune";"";"1983";"2h 17min";"";"David Lynch";"";"A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.";"tt0087182";"6.6";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYTAzYzNlMDMtMGRjYS00M2UxLTk0MmEtYmE4YWZiYmEwOTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612199";"1984";"Nineteen Eighty-Four";"1984";"1h 53min";"";"Michael Radford";"";"In a totalitarian future society, a man, whose daily work is re-writing history, tries to rebel by falling in love.";"tt0087803";"7.2";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMWFkNzIzNDUtNWI1Mi00ODA2LTgyMTMtYTZiYWMxMDFlNmNhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612202";"A Room with a View";"";"1985";"1h 57min";"";"James Ivory";"";"When Lucy Honeychurch and chaperone Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting... See full summary »";"tt0091867";"7.4";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYTEyYmE0M2MtZDQ1OC00MGUxLWI4OGMtM2M1ZjIyNDI0Y2Q4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612205";"Manhunter";"";"1986";"2h";"";"Michael Mann";"";"Former FBI profiler Will Graham returns to service to pursue a deranged serial murderer named ""the Tooth Fairy"" by the media.";"tt0091474";"7.2";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYjY3NWRlMjItMmUwOC00ZTNhLTk4ODktMDM0NjhhODI4ZDlkL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612208";"Pretty in Pink";"";"1986";"1h 36min";"";"Howard Deutch";"";"A poor girl must choose between the affections of her doting childhood sweetheart and a rich but sensitive playboy.";"tt0091790";"6.8";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BOGE3ZmVjMzMtMDcxNi00YjM5LTg3NjMtZWMxYjlhNTk2MmZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612210";"Hope and Glory";"";"1987";"1h 53min";"";"John Boorman";"";"A semi-autobiographical project by John Boorman about a nine year old boy called Bill as he grows up in London during the blitz of World War 2. For a young boy, this time in history was ... See full summary »";"tt0093209";"7.4";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMDUxNjg4MGQtODM2NC00YWZmLWJkZTEtMmFmMTBlZmYyMWVhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612212";"Miracle Mile";"";"1988";"1h 27min";"";"Steve De Jarnatt";"";"A young man hears a chance phone call telling him that a nuclear war has started and missiles will hit his city in 70 minutes.";"tt0097889";"7.0";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NDI0OTkyOV5BMl5BanBnXkFtZTcwNzIyODI1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612215";"State of Grace";"";"1990";"2h 14min";"";"Phil Joanou, Michael Lee Baron";"";"A New York cop is recruited to return to his hometown and infiltrate the mob ran by his best friend's brother.";"tt0100685";"7.3";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNTY4ODAyMV5BMl5BanBnXkFtZTcwODQxNDI3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612217";"A River Runs Through It";"";"1992";"2h 3min";"";"Robert Redford";"";"The story about two sons of a stern minister -- one reserved, one rebellious -- growing up in rural Montana while devoted to fly fishing.";"tt0105265";"7.3";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE4YWZkOWMtOWZlNS00NzU4LTk5MDQtZjZkNDllMjM1NGI1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612220";"Sneakers";"";"1992";"2h 6min";"";"Phil Alden Robinson";"";"A security pro finds his past coming back to haunt him, when he and his unique team are tasked with retrieving a particularly important item.";"tt0105435";"7.1";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYWM2OWI0OTAtYTVlOC00YTA0LTllMTItNWM5OTIwZDJlYWFmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612223";"The Last of the Mohicans";"";"1992";"1h 52min";"";"Michael Mann";"";"Three trappers protect a British Colonel's daughters in the midst of the French and Indian War.";"tt0104691";"7.8";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BZDNiYmRkNDYtOWU1NC00NmMxLWFkNmUtMGI5NTJjOTJmYTM5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612226";"Dead Man";"";"1995";"1h 55min";"";"Jim Jarmusch";"";"On the run after murdering a man, accountant William Blake encounters a strange North American man named Nobody who prepares him for his journey into the spiritual world.";"tt0112817";"7.7";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYTJlZmQ1OTAtODQzZi00NGIzLWI1MmEtZGE4NjFlOWRhODIyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UY268_CR2,0,182,268_AL_.jpg";"";"";""
"1525412612229";"Tank Girl";"";"1995";"1h 44min";"";"Rachel Talalay";"";"A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet.";"tt0114614";"5.3";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3ODMxNzU3NV5BMl5BanBnXkFtZTcwOTQzMTM3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612231";"The Net";"";"1995";"1h 54min";"";"Irwin Winkler";"";"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.";"tt0113957";"5.9";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYWU1YjQ3NTUtZjZkZi00ZDc5LTgyZTgtNzkxMTIzNzUwZGY0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612235";"Jackie Brown";"";"1997";"2h 34min";"";"Quentin Tarantino";"";"A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.";"tt0119396";"7.5";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BNmY5ODRmYTItNWU0Ni00MWE3LTgyYzUtYjZlN2Q5YTcyM2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612237";"Meet Joe Black";"";"1998";"2h 58min";"";"Martin Brest";"";"Death, who takes the form of a young man, asks a media mogul to act as a guide to teach him about life on Earth, and in the process, he falls in love with his guide's daughter.";"tt0119643";"7.2";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BNTc0MzRmMTgtMTk4OS00MzdkLWJjNWMtZWJmZjlkYTI0YWRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612239";"Pi";"";"1998";"1h 24min";"";"Darren Aronofsky";"";"A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.";"tt0138704";"7.4";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjYzNTA4YzItYTQ2Yy00NDQwLWI2OGItN2JmMjZhZTVhMzI5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612241";"Avalon";"";"2001";"1h 47min";"";"Mamoru Oshii";"";"In a future world, young people are increasingly becoming addicted to an illegal (and potentially deadly) battle simulation game called Avalon. When Ash, a star player, hears of rumors that... See full summary »";"tt0267287";"6.5";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTE1ZGJkNDYtNzA0Zi00MmY1LWJhOTctOThkODcwZWIxZTBiXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612244";"Russian Ark";"Russkiy kovcheg";"2002";"1h 39min";"";"Aleksandr Sokurov";"";"A 19th century French aristocrat, notorious for his scathing memoirs about life in Russia, travels through the Russian State Hermitage Museum and encounters historical figures from the last 200+ years.";"tt0318034";"7.4";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNDEwOTU0NV5BMl5BanBnXkFtZTYwNjk0NTk5._V1_UY268_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612247";"Brick";"";"2005";"1h 50min";"";"Rian Johnson";"";"A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.";"tt0393109";"7.4";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MjQzMzA2N15BMl5BanBnXkFtZTcwMTU2MzIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
